Institution,Additional Admission Plans,Early Decision (ED) Acceptance Rate (1),Regular Decision (RD) Acceptance Rate (2),ED to RD         Acceptance Ratio,ED Admits as Percent of Freshman Class
Spelman College,EA,0.29,0.283812923,1.021799843,0.100519931
Springfield College,ED II,0.866242038,0.751,1.2,0.257088847
St. John Fisher College ,,,,,
St. John's College - Annapolis,"ED II, EA",0.666666667,0.496900826,1.341649342,0.076923077
St. John's College - Santa Fe,"ED II, EA",0.666666667,0.535469108,1.245014245,0.114942529
St. John's University (NY),,,,,
St. Lawrence University,EA,0.731617647,0.629591837,1.16205072,0.373358349
St. Mary's College of Maryland,EA,0.897435897,0.771329879,1.163491681,0.085784314
St. Olaf College ,"ED II, EA",0.724550898,0.553757225,1.308426987,0.278481013
Sterling College,"EA, EA II",,,,
Stetson University,EA,0.9765625,0.937603993,1.041551131,0.187687688
Stevens Institute of Technology,"ED II, EA",0.590462833,0.454,1.3,0.416831683
Stonehill College,"ED II, EA, EA II",,,,
Susquehanna University ,"EA, EA II",,,,
Swarthmore College ,ED II,0.191709845,0.058823529,3.259067358,0.512702079
Sweetbriar College,EA,0.777777778,0.756,1,0.5
Syracuse University ,ED II,0.599514563,0.513226306,1.168129062,0.301660967
Texas Christian University,"ED II, EA",0.70412844,0.552887439,1.273547545,0.247181965
The College of New Jersey,,0.968926554,0.633,1.5,0.217363752
Trinity College ,ED II,,,,
Trinity University,"ED II, EA",0.59,0.300008879,1.966608464,0.180152672
Tufts University ,ED II,,,,
Tulane University,"ED II, EA",0.678899083,0.079396546,8.550738255,0.682582746
Union College,"ED II, EA",0.694980695,0.457860715,1.517886712,0.313043478
University of Chicago,"ED II, EA",,,,
University of Denver,"ED II, EA",0.620535714,0.778585626,0.797003815,0.085855466
University of Lynchburg,,0.812903226,0.966829268,0.840792943,0.307317073
University of Mary Washington,EA,0.73255814,0.860263898,0.851550485,0.086065574
University of Miami,"ED II, EA",0.567016317,0.175718109,3.226851914,0.410548523
University of New Haven,"EA, EA II",0.917808219,0.912367428,1.005963378,0.054163298
University of Pennsylvania,,0.155247626,0.049985041,3.105881757,0.502283105
University of Puget Sound,EA,0.516853933,0.831811263,0.621359623,0.113580247
University of Redlands,,,,,
University of Richmond,"ED II, EA",0.438150289,0.231276391,1.894487749,0.445358402
University of Rochester,ED II,0.427279054,0.386,1.1,0.377846154
University of San Francisco,"ED II, EA",0.623287671,0.712331751,0.874996335,0.05878553
University of Tampa,EA,,,,
University of Vermont,EA,,,,
University of Virginia,EA,0.452,0.329,1.4,0.276
Ursinus College,"ED II, EA",,,,
Utica College,"EA, EA II",0.689655172,0.810065908,0.851356866,0.046620047
Vanderbilt University,ED II,0.176447264,0.053298817,3.310528718,0.550401979
Vassar College ,ED II,0.386170213,0.168640183,2.289906267,0.533039648
Villanova University,"ED II, EA",0.555555556,0.212848712,2.610095918,0.462280204
Virginia Military Institute,,0.816091954,0.680988185,1.198393705,0.594972067
Wabash College,EA,0.852941176,0.606175515,1.407086159,0.224806202
Wake Forest University,"ED II, EA",,,,
Warren Wilson College,EA,,,,
Washington & Jefferson College,,0.31372549,0.889384478,0.352744508,0.045977011
Washington College,EA,0.984615385,0.740859783,1.329017187,0.275862069
Washington University in St. Louis,ED II,0.261556886,0.092,2.8,0.603982301
Washington and Lee University,ED II,0.416666667,0.144728824,2.878947368,0.577731092
Webb Institute of Naval Architecture,,,,,
Wellesley College,ED II,0.29199549,0.11743819,2.486375934,0.442735043
Wesleyan University,ED II,0.404966571,0.124090842,3.263468648,0.570659489
Westminster College (PA),EA,,,,
Wheaton College (MA) ,"ED II, EA",,,,
Whitman College,ED II,0.435294118,0.480351011,0.906200065,0.332335329
Wilkes University,,,,,
Willamette University ,EA,0.766666667,0.80630517,0.950839329,0.043977055
Williams College ,,0.312039312,0.072240987,4.319422042,0.440207972
Wittenberg University,EA,0.974358974,0.938830686,1.037843126,0.09382716
Wofford College ,EA,,,,
Worcester Polytechnic Institute,"ED II, EA, EA II",0.736220472,0.506037902,1.454872193,0.138109306
Yeshiva University ,,1,2.702198534,0.370069034,0.183870968
York College of Pennsylvania,,0.981538462,0.954091342,1.028767812,0.434013605
